date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:38:01	129763/129763	---M-Z	200	added ('OK')	text/html	etag:%227f76e94975859bbf0179199133955dbe;gzip%22	https://www.han.nl/opleidingen/hbo/social-work-euregio/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-57.html	(from )
13:38:01	189464/189464	---M-Z	200	added ('OK')	text/html	etag:%22ef4357dd1b19efbfa39f9b7d361fdd38;gzip%22	https://www.han.nl/opleidingen/hbo/sportkunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-58.html	(from )
13:38:02	221021/221021	---M-Z	200	added ('OK')	text/html	etag:%228152eb8b256041a1067bdf282d5e530b;gzip%22	https://www.han.nl/opleidingen/hbo/technische-bedrijfskunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-59.html	(from )
13:38:02	189275/189275	---M-Z	200	added ('OK')	text/html	etag:%22ad05fdd9803c59c4bd58181fde86f700;gzip%22	https://www.han.nl/opleidingen/hbo/vaktherapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-61.html	(from )
13:38:02	264347/264347	---M-Z	200	added ('OK')	text/html	etag:%220671432dc6b5400fd080bd74f7e1ecb7;gzip%22	https://www.han.nl/opleidingen/hbo/toegepaste-psychologie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-60.html	(from )
13:38:03	186978/186978	---M-Z	200	added ('OK')	text/html	etag:%225f37619cac80ce33a1201f953650e4de;gzip%22	https://www.han.nl/opleidingen/hbo/vaktherapie-beeldende-therapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-62.html	(from )
13:38:03	183429/183429	---M-Z	200	added ('OK')	text/html	etag:%2274d2a4f143aeb61fa3e955fd9639ddea;gzip%22	https://www.han.nl/opleidingen/hbo/vaktherapie-dramatherapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-63.html	(from )
13:38:03	182389/182389	---M-Z	200	added ('OK')	text/html	etag:%220ea9dfc703c0c44ded09a65b01de53ed;gzip%22	https://www.han.nl/opleidingen/hbo/vaktherapie-psychomotorische-therapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-65.html	(from )
13:38:04	191259/191259	---M-Z	200	added ('OK')	text/html	etag:%221e2c2261a8dbf4a15ef24c63a9b1c768;gzip%22	https://www.han.nl/opleidingen/hbo/verpleegkunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-66.html	(from )
13:38:04	218700/218700	---M-Z	200	added ('OK')	text/html	etag:%226d1c88fb9ec0871038f7636ab2a934a9;gzip%22	https://www.han.nl/opleidingen/hbo/werktuigbouwkunde/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-68.html	(from )
13:38:05	215533/215533	---M-Z	200	added ('OK')	text/html	etag:%22cd5115b7a8ea32d8665fd8d93a643803;gzip%22	https://www.han.nl/opleidingen/hbo/industrieel-product-ontwerpen/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-30.html	(from )
13:38:05	184432/184432	---M-Z	200	added ('OK')	text/html	etag:%2215b2c078fc518cbbf5ed5145e7a02139;gzip%22	https://www.han.nl/opleidingen/hbo/vaktherapie-muziektherapie/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-64.html	(from )
13:38:05	211598/211598	---M-Z	200	added ('OK')	text/html	etag:%229e818562829cd07801d0757dd8616fe9;gzip%22	https://www.han.nl/opleidingen/hbo/voeding-dietetiek/voltijd/praktische-info/	C:/Users/vinxx/Desktop/OERHANpoging4/index-67.html	(from )
